status	key	command
Composition	Backspace	Backspace
Conversion	Backspace	Cancel
Precomposition	Backspace	Revert
Composition	Ctrl @	CancelAndIMEOff
Conversion	Ctrl @	Cancel
Composition	Ctrl [	CancelAndIMEOff
Conversion	Ctrl [	Cancel
Composition	Ctrl 0	ConvertToHalfAlphanumeric
Conversion	Ctrl 0	ConvertToHalfAlphanumeric
Composition	Ctrl 2	ConvertWithoutHistory
Composition	Ctrl 6	ConvertToHiragana
Conversion	Ctrl 6	ConvertToHiragana
Composition	Ctrl 7	ConvertToFullKatakana
Conversion	Ctrl 7	ConvertToFullKatakana
Composition	Ctrl 8	ConvertToHalfWidth
Conversion	Ctrl 8	ConvertToHalfWidth
Composition	Ctrl 9	ConvertToFullAlphanumeric
Conversion	Ctrl 9	ConvertToFullAlphanumeric
Composition	Ctrl a	MoveCursorToBeginning
Conversion	Ctrl a	SegmentFocusFirst
Composition	Ctrl b	MoveCursorLeft
Conversion	Ctrl b	SegmentWidthShrink
Composition	Ctrl Backspace	Backspace
Conversion	Ctrl Backspace	Cancel
Precomposition	Ctrl Backspace	Undo
Composition	Ctrl d	Delete
Conversion	Ctrl d	Cancel
Composition	Ctrl Down	MoveCursorToEnd
Conversion	Ctrl Down	CommitOnlyFirstSegment
Composition	Ctrl e	MoveCursorToEnd
Conversion	Ctrl e	SegmentFocusLast
Composition	Ctrl Enter	CommitFirstSuggestion
Conversion	Ctrl Enter	CommitOnlyFirstSegment
Composition	Ctrl f	MoveCursorRight
Conversion	Ctrl f	SegmentWidthExpand
Conversion	Ctrl g	ConvertNextPage
Composition	Ctrl h	Backspace
Conversion	Ctrl h	Cancel
Composition	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl i	ConvertToFullKatakana
Composition	Ctrl k	MoveCursorLeft
Conversion	Ctrl k	SegmentWidthShrink
Composition	Ctrl l	ConvertToHalfAlphanumeric
Conversion	Ctrl l	ConvertToHalfAlphanumeric
Composition	Ctrl Left	MoveCursorToBeginning
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl m	Commit
Conversion	Ctrl m	Commit
Composition	Ctrl n	PredictAndConvert
Conversion	Ctrl n	PredictAndConvert
Composition	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl p	ConvertPrev
Conversion	Ctrl r	ConvertPrevPage
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl Right	SegmentFocusLast
Composition	Ctrl Shift Space	InsertFullSpace
Conversion	Ctrl Shift Space	InsertFullSpace
Composition	Ctrl Space	InsertHalfSpace
Conversion	Ctrl Space	InsertHalfSpace
Composition	Ctrl u	ConvertToHiragana
Conversion	Ctrl u	ConvertToHiragana
Composition	Ctrl Up	MoveCursorToBeginning
Conversion	Ctrl Up	ConvertPrev
Composition	Ctrl z	Cancel
Conversion	Ctrl z	Cancel
Composition	Delete	Delete
Conversion	Delete	Cancel
Composition	Down	MoveCursorToEnd
Conversion	Down	ConvertNext
Suggestion	Down	PredictAndConvert
Composition	End	MoveCursorToEnd
Conversion	End	SegmentFocusLast
Composition	Enter	Commit
Conversion	Enter	Commit
Composition	ESC	Cancel
Conversion	ESC	Cancel
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
Composition	Hankaku/Zenkaku	IMEOff
Conversion	Hankaku/Zenkaku	IMEOff
DirectInput	Hankaku/Zenkaku	IMEOn
Precomposition	Hankaku/Zenkaku	IMEOff
Conversion	Henkan	ConvertNext
Composition	Hiragana	InputModeHiragana
Conversion	Hiragana	InputModeHiragana
DirectInput	Hiragana	IMEOn
Precomposition	Hiragana	InputModeHiragana
Composition	Home	MoveCursorToBeginning
Conversion	Home	SegmentFocusFirst
Composition	Katakana	InputModeFullKatakana
Conversion	Katakana	InputModeFullKatakana
DirectInput	Katakana	IMEOn
Precomposition	Katakana	InputModeFullKatakana
Composition	Left	MoveCursorLeft
Conversion	Left	SegmentFocusLeft
Precomposition	Muhenkan	IMEOff
Conversion	PageDown	ConvertNextPage
Conversion	PageUp	ConvertPrevPage
Composition	Right	MoveCursorRight
Conversion	Right	SegmentFocusRight
Conversion	Shift Backspace	Cancel
Conversion	Shift Down	ConvertNextPage
Conversion	Shift Enter	CommitOnlyFirstSegment
Suggestion	Shift Enter	CommitFirstSuggestion
Conversion	Shift ESC	Cancel
Conversion	Shift Left	SegmentWidthShrink
Conversion	Shift Right	SegmentWidthExpand
Conversion	Shift Space	ConvertPrev
Precomposition	Shift Space	InsertFullSpace
Conversion	Shift Tab	ConvertPrev
Conversion	Shift Up	ConvertPrevPage
Composition	Space	Convert
Conversion	Space	ConvertNext
Precomposition	Space	InsertSpace
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
Composition	ASCII	InsertCharacter
Composition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	ASCII	InsertCharacter
Precomposition	Kanji	IMEOff
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
